locus_tag	common gene name	strand	start	end	EEP	MEP	LEP	ESP (biological replicate 1)	ESP (biological replicate 2)	ESP average (biological replicate 1 and 2)	LSP (biological replicate 1)	LSP (biological replicate 2)	LSP average (biological replicate 1 and 2)
SL1344_3562	gor	+	3789919	3791271	85	101	61	38	42	40	6	4	5
SL1344_3563		-	3791318	3792361	13	12	14	15	16	15	1	1	1
SL1344_3564		-	3792420	3793739	8	7	7	13	12	12	1	1	1
SL1344_3565		-	3793793	3794638	6	4	7	12	10	11	1	1	1
SL1344_3566		-	3794702	3795679	16	16	20	56	51	54	21	14	18
SL1344_3567		-	3795855	3796574	29	27	29	17	19	18	11	10	11
SL1344_3568	treF	+	3796900	3798549	8	12	11	13	13	13	3	3	3
SL1344_3569		-	3798562	3800151	14	22	56	69	95	82	7	6	7
SL1344_3570		+	3800432	3800788	6	4	8	3	3	3	1	1	1
SL1344_3571	yhjB	-	3800794	3801396	5	3	6	4	4	4	1	1	1
STnc4020		+	3801175	3801266	57	95	109	40	45	42	4	5	4
SL1344_3572	yhjC	+	3802027	3802926	11	12	7	6	4	5	19	11	15
SL1344_3573	yhjD	+	3802999	3804027	10	13	17	11	11	11	12	6	9
SL1344_3574	yhjE	+	3804378	3805700	12	10	10	9	8	8	2	2	2
SL1344_3575	yhjG	-	3805740	3807800	31	30	28	32	34	33	19	17	18
SL1344_3576	yhjH	-	3807910	3808677	133	173	137	169	216	193	2	1	2
SL1344_3577	kdgK	+	3808906	3809835	10	24	28	35	42	39	2	1	2
SL1344_3578	yhjJ	-	3809889	3811376	44	41	49	35	33	34	2	1	1
SL1344_3579	dctA	-	3811596	3812882	32	109	479	115	75	95	2	2	2
SL1344_3580	yhjK	-	3813040	3814959	33	30	24	12	13	13	2	2	2
SL1344_3581	yhjL	-	3815220	3818762	32	26	32	30	31	31	3	3	3
SL1344_3582	bcsC	-	3818744	3819853	41	31	43	39	40	40	5	2	3
SL1344_3583	yhjN	-	3819857	3822157	31	21	30	22	24	23	1	1	1
SL1344_3584	bcsA	-	3822168	3824792	38	20	30	34	35	34	2	1	1
SL1344_3585	yhjQ	-	3824789	3825541	53	33	50	65	79	72	5	5	5
SL1344_3586	yhjR	-	3825542	3825745	109	56	106	88	93	90	26	25	25
SL1344_3587	yhjS	+	3825990	3827561	52	38	51	47	49	48	24	17	20
SL1344_3588	yhjT	+	3827558	3827749	49	33	41	54	48	51	6	3	5
SL1344_3589	yhjU	+	3827746	3829425	36	33	43	46	47	47	9	7	8
STnc710		+	3829661	3829728	5992	11093	14466	13564	13812	13688	9184	6746	7965
STnc1430		-	3829797	3829428	164	351	461	660	891	775	75	121	98
SL1344_3590		+	3829889	3830139	152	83	40	3	5	4	0	0	0
SL1344_3591	yhjV	+	3830257	3831555	55	18	17	6	6	6	4	2	3
SL1344_3592	dppF	-	3831656	3832669	6	6	30	34	30	32	1	0	0
SL1344_3593	dppD	-	3832666	3833649	10	8	35	54	55	55	1	1	1
SL1344_3594	dppC	-	3833660	3834562	9	7	25	46	53	49	1	1	1
SL1344_3595	dppB	-	3834572	3835591	9	5	32	53	77	65	1	1	1
SL1344_3596	dppA	-	3835748	3837304	18	19	76	199	172	186	66	48	57
SL1344_3597		-	3837911	3839236	2	4	3	1	2	1	0	0	0
SL1344_3598		-	3839294	3840418	9	9	5	4	3	4	1	1	1
SL1344_3599		+	3840568	3841575	9	15	8	9	7	8	0	0	0
SL1344_3600	yhjW	-	3841902	3843593	18	19	20	16	14	15	2	2	2
SL1344_3601	lpfE	-	3843811	3844338	8	6	7	4	4	4	3	2	3
SL1344_3602	lpfD	-	3844344	3845413	7	8	9	6	8	7	1	1	1
SL1344_3604	lpfC	-	3845431	3847959	1	2	2	1	1	1	1	0	0
SL1344_3605	lpfB	-	3847982	3848680	1	1	2	1	1	1	1	1	1
SL1344_3606	lpfA	-	3848765	3849301	1	1	2	2	1	1	6	5	6
SL1344_3607	yhjY	-	3849807	3850511	4	5	23	21	31	26	21	43	32
SL1344_3608	tag	+	3850668	3851249	17	15	28	33	34	34	4	3	4
SL1344_3609	yiaC	+	3851227	3851667	20	16	25	40	38	39	3	3	3
SL1344_3610	bisC	-	3851636	3853969	32	30	24	16	15	16	2	2	2
SL1344_3611	yiaD	+	3854155	3854784	20	17	20	11	11	11	3	1	2
SL1344_3612	yiaE	+	3855003	3855977	19	28	23	24	24	24	3	3	3
SL1344_3613	yiaF	-	3856027	3856737	273	249	180	103	130	116	3	7	5
SL1344_3614	yiaG	+	3857176	3857466	12	19	163	399	341	370	416	532	474
SL1344_3615	cspA	+	3857767	3857967	11807	2273	838	71	107	89	12	14	13
SL1344_3616		+	3858264	3858680	14	12	8	15	21	18	10	5	8
STnc780		-	3858993	3858666	205	222	179	153	172	163	49	43	46
SL1344_3617		-	3859052	3859537	64	42	28	13	18	16	3	3	3
SL1344_3618		-	3859525	3859812	110	83	68	46	39	43	7	4	6
SL1344_3619	yafP	-	3859990	3860457	28	15	16	18	16	17	3	2	2
SL1344_3620	glyS	-	3861086	3863155	137	143	81	33	36	35	1	2	1
SL1344_3621	glyQ	-	3863165	3864076	121	124	73	31	30	30	4	3	4
SL1344_3622		-	3864215	3864517	18	21	40	48	49	48	8	8	8
SL1344_3623	yiaH	+	3864683	3865678	8	10	12	15	11	13	28	12	20
SL1344_3624	yiaB	-	3865701	3866054	6	5	16	28	21	24	2	1	1
SL1344_3625	xylB	-	3866229	3867683	6	5	8	7	7	7	1	1	1
SL1344_3626	xylA	-	3867783	3869105	11	7	10	9	7	8	1	0	0
SL1344_3627	xylR	+	3869468	3870646	6	7	15	23	19	21	6	4	5
SL1344_3628	bax	-	3870707	3871531	143	139	163	123	141	132	31	30	31
SL1344_3629	malS	+	3871847	3873874	3	7	3	2	2	2	0	0	0
SL1344_3630	avtA	+	3874048	3875298	46	35	14	6	7	7	1	2	1
SL1344_3631	ysaA	-	3875335	3875808	14	27	19	26	32	29	1	1	1
SL1344_3632	yiaJ	-	3875925	3876725	30	39	35	20	26	23	2	2	2
SL1344_3633	yiaK	+	3876955	3877953	2	1	2	2	2	2	1	1	1
SL1344_3634	yiaL	+	3877965	3878429	2	1	2	2	2	2	1	0	1
SL1344_3635		+	3878453	3879385	3	2	3	4	3	3	2	1	2
SL1344_3636	yiaM	+	3879524	3879997	1	0	3	1	1	1	0	0	0
SL1344_3637	yiaN	+	3880000	3881277	1	0	1	0	0	0	0	0	0
SL1344_3638	yiaO	+	3881289	3882275	1	0	1	0	1	0	1	0	0
SL1344_3639	lyxK	+	3882279	3883775	1	1	2	1	2	1	0	0	0
SL1344_3640	sgbH	+	3883772	3884434	1	1	1	1	1	1	0	0	0
SL1344_3641	sgbU	+	3884427	3885287	0	1	1	0	0	0	0	0	0
SL1344_3642	sgbE	+	3885305	3885976	0	2	2	1	1	1	0	0	0
SL1344_3643		-	3886137	3886952	3	3	14	14	13	14	2	1	1
SL1344_3644		+	3887216	3889171	3	3	4	5	3	4	0	0	0
SL1344_3645	aldB	-	3889289	3890827	3	4	17	56	54	55	123	107	115
SL1344_3646		+	3890996	3891877	4	6	10	18	16	17	14	11	13
SL1344_3647	selB	-	3892162	3894012	23	27	21	20	27	23	2	2	2
SL1344_3648	selA	-	3894009	3895400	36	42	42	33	33	33	2	4	3
SL1344_3649	yibF	-	3895499	3896107	21	30	51	61	64	62	32	29	30
SL1344_3650	mtlA	+	3896583	3898499	13	18	35	35	33	34	3	3	3
SL1344_3651	mtlD	+	3898720	3899868	60	57	45	30	30	30	6	5	5
SL1344_3652	mtlR	+	3899865	3900455	42	36	35	26	25	25	2	2	2
SL1344_3653		-	3900465	3900674	17	10	16	28	27	28	69	51	60
SL1344_3654	yibL	+	3900965	3901327	226	158	65	55	50	53	47	26	37
SL1344_3655		+	3901817	3902500	1	1	0	0	0	0	2	0	1
SL1344_3656	sadA	+	3902544	3906929	2	3	3	3	3	3	3	2	3
STnc380		-	3907052	3906945	48	20	13	10	6	8	19	15	17
SL1344_3657	lctP	+	3907228	3908883	7	6	20	4	3	3	1	1	1
SL1344_3658	lctR	+	3908880	3909656	5	9	18	4	2	3	1	0	1
SL1344_3659	lctD	+	3909653	3910843	5	14	23	3	3	3	0	0	0
SL1344_3660	yibK	+	3910907	3911380	45	39	19	7	6	7	1	1	1
SL1344_3661		-	3911448	3912452	39	39	33	17	18	17	2	1	2
SL1344_3662		+	3912771	3913967	3	5	10	5	3	4	1	0	0
SL1344_3663		+	3914041	3915219	7	6	9	5	5	5	7	2	5
SL1344_3664		+	3915216	3915350	10	14	26	14	9	12	5	3	4
SL1344_3665	cysE	-	3915433	3916254	113	103	83	41	43	42	1	2	2
SL1344_3666	gpsA	-	3916332	3917351	249	325	240	143	147	145	77	66	72
SL1344_3667	secB	-	3917351	3917818	533	545	400	389	290	339	17	14	15
SL1344_3668	grxC	-	3917862	3918113	704	658	455	234	200	217	5	4	4
SL1344_3669	yibN	-	3918200	3918631	586	554	465	236	280	258	7	8	8
SL1344_3670	pmgI	+	3918879	3920423	33	16	11	22	31	27	1	1	1
SL1344_3671	yibP	+	3920433	3921716	211	190	137	90	96	93	39	19	29
SL1344_3672	yigQ	+	3921720	3922682	56	51	32	17	21	19	0	0	0
SL1344_3673	yibD	-	3922669	3923703	12	11	14	8	6	7	1	2	2
SL1344_3673A		-	3923989	3924108	83	302	219	147	264	205	32	45	38
SL1344_3674	tdh	-	3924197	3925222	166	274	247	131	124	127	8	6	7
SL1344_3675	kbl	-	3925232	3926428	99	160	159	86	82	84	3	3	3
SL1344_3676	rfaD	+	3926631	3927563	164	150	123	77	82	80	11	10	10
SL1344_3677	rfaF	+	3927566	3928612	110	120	86	52	58	55	3	3	3
SL1344_3678	rfaC	+	3928612	3929565	123	124	70	31	40	36	1	1	1
SL1344_3679	rfaL	+	3929605	3930819	219	192	105	59	52	56	4	2	3
SL1344_3680	rfaK	-	3930876	3931739	91	75	55	34	31	32	6	4	5
SL1344_3681	rfaZ	-	3932122	3932931	194	154	129	57	61	59	6	7	6
SL1344_3682	rfaY	-	3933081	3933635	183	149	110	58	71	65	1	1	1
SL1344_3683	rfaJ	-	3933802	3934812	219	166	133	61	70	65	3	4	3
SL1344_3684	rfaI	-	3934830	3935843	236	178	153	63	61	62	5	6	5
SL1344_3685	rfaB	-	3935849	3936928	160	127	95	45	37	41	4	4	4
SL1344_3686	yibR	-	3936998	3937231	249	205	134	74	69	71	9	5	7
SL1344_3687	rfaP	-	3937263	3938060	132	104	76	35	34	35	4	3	4
SL1344_3688	rfaG	-	3938053	3939177	115	102	71	35	37	36	2	2	2
SL1344_3689	rfaQ	-	3939174	3940208	117	91	71	33	40	37	1	1	1
SL1344_3690	kdtA	+	3940719	3941930	143	135	82	47	49	48	2	3	2
SL1344_3691	coaD	+	3941939	3942418	119	117	67	44	42	43	2	0	1
SL1344_3692	mutM	-	3942446	3943255	24	21	8	5	3	4	0	0	0
SL1344_3693	rpmG	-	3943353	3943520	8241	4918	2733	1056	1266	1161	18	34	26
SL1344_3694	rpmB	-	3943541	3943777	11443	6200	3791	1343	1108	1225	15	27	21
SL1344_3695	radC	-	3943995	3944660	50	42	55	28	28	28	5	4	5
SL1344_3696	dfp	+	3944833	3946056	111	111	73	32	34	33	2	3	2
SL1344_3697	dut	+	3946037	3946492	149	136	99	51	44	47	2	2	2
SL1344_3698	slmA	+	3946600	3947196	138	121	85	33	40	36	1	1	1
SL1344_3699	pyrE	-	3947274	3947915	18	110	30	12	13	13	1	2	1
SL1344_3700	rph	-	3947994	3948710	180	173	84	18	26	22	4	4	4
SL1344_3701	yicC	+	3948836	3949699	112	123	70	47	49	48	14	12	13
SL1344_3702		-	3949749	3950606	10	12	9	7	6	7	1	1	1
SL1344_3703		+	3950725	3951606	3	4	3	3	3	3	1	1	1
SL1344_3704		+	3951857	3952474	54	135	88	13	19	16	1	1	1
SL1344_3705	ligB	-	3952471	3954156	3	3	4	3	2	3	0	0	0
SL1344_3706	gmk	+	3954413	3955036	321	265	162	78	89	84	19	13	16
SL1344_3707	rpoZ	+	3955091	3955366	950	697	368	143	164	153	11	11	11
SL1344_3708	spoT	+	3955385	3957496	409	343	170	59	73	66	3	2	3
SL1344_3709	spoU	+	3957501	3958190	210	192	104	29	32	31	1	1	1
SL1344_3710	recG	+	3958196	3960277	66	84	37	10	9	9	1	0	0
SL1344_3711		-	3960280	3961131	52	37	34	21	25	23	1	1	1
SL1344_3712	gltS	-	3961134	3962339	38	28	25	20	19	19	1	1	1
SL1344_3713	yicE	+	3962567	3963958	11	33	12	35	12	23	1	1	1
SL1344_3714	yicH	+	3964079	3965788	28	40	39	35	31	33	5	4	4
SL1344_3715	yicI	-	3965891	3968209	2	2	2	1	1	1	0	0	0
SL1344_3716	yicJ	-	3968221	3969603	2	2	4	2	1	2	1	0	0
SL1344_3717		-	3970302	3970670	11	9	10	12	11	12	137	45	91
SL1344_3718	sugR	+	3971324	3972861	56	57	30	24	26	25	8	6	7
SL1344_3720	rhuM	+	3973048	3974085	39	36	23	16	19	17	3	2	3
SL1344_3722	rmbA	+	3975384	3976001	0	0	1	1	1	1	2	1	2
SL1344_3723	misL	+	3976076	3978943	7	6	6	3	3	3	2	1	1
SL1344_3724	fidL	-	3979038	3979520	21	9	15	17	16	16	9	7	8
SL1344_3725	marT	-	3979513	3980301	12	5	6	6	6	6	4	3	3
SL1344_3726	slsA	+	3981154	3981834	10	9	13	5	6	5	1	2	1
SL1344_3727	cigR	-	3982063	3982542	37	49	86	102	97	99	24	20	22
SL1344_3727A	mgtR	-	3982743	3982835	13	7	15	10	10	10	3	1	2
SL1344_3728	mgtB	-	3982857	3985583	6	5	5	3	3	3	1	1	1
AmgR		+	3985660	3986859	1	3	3	4	4	4	6	3	4
SL1344_3729	mgtC	-	3985803	3986498	5	2	6	5	4	4	3	3	3
SL1344_3730	yicL	+	3987007	3987909	21	17	19	11	12	12	1	1	1
SL1344_3731		-	3987952	3988893	10	12	10	8	6	7	2	1	2
SL1344_3732		-	3989129	3989872	4	6	6	7	5	6	1	1	1
SL1344_3733		-	3989859	3990968	3	4	4	3	3	3	0	0	0
SL1344_3734		-	3990972	3991829	2	2	3	2	1	2	0	0	0
SL1344_3735		-	3991829	3992578	1	2	4	2	2	2	2	1	1
SL1344_3736		-	3992724	3993209	1	1	2	1	1	1	0	0	0
SL1344_3737		-	3993220	3993645	0	1	4	1	1	1	0	0	0
SL1344_3738		-	3993864	3996662	16	17	22	15	15	15	2	1	2
STnc4040		-	3993945	3993822	37	67	66	89	79	84	29	27	28
SL1344_3739		+	3996859	3997152	3	3	8	20	13	17	20	12	16
SL1344_3740		+	3997258	3998640	3	6	12	12	14	13	2	2	2
SL1344_3741	nepI	-	3998700	3999892	26	16	5	2	2	2	1	0	1
SL1344_3743		+	4000108	4000467	33	33	27	32	19	26	89	60	74
SL1344_3744		+	4000451	4000774	15	17	11	14	9	11	28	19	23
SL1344_3745		-	4000865	4001134	14	18	32	57	45	51	19	12	15
SL1344_3746		-	4001144	4002004	2	3	4	3	3	3	3	1	2
SL1344_3747		-	4002067	4003551	7	7	7	6	8	7	1	1	1
SL1344_3748		-	4003544	4004902	6	6	8	9	8	9	1	1	1
SL1344_3749		-	4004978	4005265	15	16	17	31	29	30	4	2	3
SL1344_3750		-	4005262	4005735	11	17	17	26	25	25	6	4	5
SL1344_3751		-	4005753	4006496	15	19	22	32	29	30	13	11	12
SL1344_3752	yicN	-	4006849	4007301	39	40	28	16	16	16	3	1	2
SL1344_3753	uhpT	-	4007493	4008884	4	4	5	7	5	6	1	0	0
SL1344_3754	uhpC	-	4009027	4010355	18	12	9	3	3	3	0	0	0
SL1344_3755	uhpB	-	4010365	4011867	26	20	15	5	6	6	0	0	0
SL1344_3756	uhpA	-	4011867	4012457	33	24	31	8	11	10	0	0	0
SL1344_3757		-	4012532	4013545	8	8	9	8	9	8	0	1	1
SL1344_3758		-	4013557	4014873	6	4	8	7	7	7	1	1	1
SL1344_3759		-	4014904	4015824	4	5	9	13	9	11	1	1	1
SL1344_3760		+	4016149	4016934	11	12	12	9	7	8	4	2	3
SL1344_3761	ilvN	-	4016936	4017226	18	11	22	19	14	17	1	1	1
SL1344_3762	ilvB	-	4017230	4018918	14	5	12	10	10	10	0	0	0
SL1344_3763	ivbL	-	4019025	4019123	534	745	1731	1315	1455	1385	375	359	367
IstR		-	4019460	4019329	4019329	272	179	174	150	144	147	297	216
SL1344_3765		+	4020012	4020800	6	4	4	1	1	1	0	0	0
SL1344_3766	emrD	+	4021003	4022187	27	33	50	20	22	21	2	2	2
SL1344_3767		-	4022114	4023199	19	21	14	17	15	16	3	2	2
SL1344_3768	dsdC	-	4023263	4024186	14	13	8	9	7	8	1	1	1
SL1344_3769	dsdX	+	4024412	4025749	6	26	3	2	3	3	0	0	0
SL1344_3770	dsdA	+	4025767	4027089	8	40	10	8	5	7	2	2	2
SL1344_3771	yidF	-	4027171	4027701	28	43	99	122	131	126	5	2	3
SL1344_3772	yidG	-	4027698	4028060	20	30	27	18	23	20	1	1	1
SL1344_3773	yidH	-	4028050	4028397	37	36	45	29	30	29	4	5	4
SL1344_3774	yidE	-	4028841	4030502	9	12	9	25	19	22	4	2	3
SL1344_3775	hslS	-	4030692	4031126	83	197	34	39	47	43	5	3	4
STnc2110		-	4030702	4030646	78	182	33	55	65	60	10	14	12
SL1344_3776	hslT	-	4031230	4031649	53	187	45	61	47	54	8	8	8
SL1344_3777	yidQ	+	4031950	4032285	19	22	64	66	65	65	26	13	20
SL1344_3778	yidR	-	4032287	4033513	15	16	11	10	10	10	1	1	1
SL1344_3779	ccmH1	-	4033635	4034678	1	1	1	6	4	5	0	0	0
SL1344_3780	ccmG1	-	4034675	4035232	0	0	0	0	0	0	0	0	0
SL1344_3781	ccmF1	-	4035229	4037160	0	0	0	0	0	0	0	0	0
SL1344_3782	ccmE1	-	4037157	4037636	0	0	1	1	1	1	0	0	0
SL1344_3782A	ccmD1	-	4037633	4037845	0	0	0	0	0	0	0	0	0
SL1344_3783	ccmC1	-	4037842	4038579	0	0	0	0	0	0	0	0	0
SL1344_3784	ccmB1	-	4038631	4039287	0	0	0	0	0	0	0	0	0
SL1344_3785	ccmA1	-	4039287	4039913	0	0	0	2	3	2	0	0	0
SL1344_3786	yhjA	-	4039910	4041310	1	1	4	35	30	32	2	1	1
SL1344_3787	torD	-	4041500	4042132	2	4	4	2	2	2	2	1	1
SL1344_3788	torA	-	4042125	4044677	2	2	2	1	2	1	0	0	0
SL1344_3789	torC	-	4044667	4045851	1	1	1	1	1	1	0	0	0
SL1344_3790	torR	+	4045981	4046673	34	35	37	69	43	56	51	29	40
SL1344_3791	torT	-	4046646	4047686	4	5	8	14	16	15	0	0	0
SL1344_3792	torS	+	4047766	4050501	10	10	9	6	6	6	1	1	1
SL1344_3793	dgoT	-	4050527	4051864	2	2	3	2	2	2	1	1	1
SL1344_3794	dgoD	-	4051949	4053097	3	3	4	3	3	3	3	2	2
SL1344_3795	dgoA	-	4053094	4053711	2	3	3	2	2	2	2	3	2
SL1344_3796	dgoK	-	4053695	4054573	5	4	5	4	5	4	7	6	6
SL1344_3797	dgoR	-	4054570	4055259	11	11	10	10	9	9	12	10	11
SL1344_3798	yidA	-	4055520	4056365	30	39	12	15	16	15	1	2	1
SL1344_3799		+	4056671	4057933	1	1	3	2	3	3	1	1	1
SL1344_3800		+	4057947	4059140	2	2	4	5	4	5	1	0	0
SL1344_3801		+	4059255	4060151	6	7	20	28	22	25	2	1	2
SL1344_3802	gyrB	-	4060170	4062584	191	144	100	39	55	47	5	3	4
SL1344_3803	recF	-	4062613	4063686	111	79	64	23	27	25	2	2	2
SL1344_3804	dnaN	-	4063834	4064934	115	77	85	40	53	46	2	1	1
SL1344_3805	dnaA	-	4064939	4066339	165	110	122	59	82	71	3	2	3
SL1344_3806	rpmH	+	4067000	4067140	14740	8724	7326	1838	1870	1854	41	46	44
RNaseP		+	4067156	4067515	811	578	379	94	93	93	2	2	2
SL1344_3807	rnpA	+	4067157	4067516	0	0	0	0	0	0	0	0	0
SL1344_3808		+	4067480	4067737	402	257	165	25	37	31	1	0	0
SL1344_3809	yidC	+	4067740	4069386	340	235	163	42	45	43	1	1	1
STnc4250		+	4069297	4069429	423	476	393	132	163	148	17	24	20
SL1344_3810	thdF	+	4069516	4070892	37	23	19	5	5	5	2	2	2
STnc3170		-	4071038	4070923	5	4	9	43	23	33	13	12	12
SL1344_3811	intA	+	4071148	4072365	3	2	4	11	11	11	1	1	1
STnc400		+	4072457	4072530	18693	32084	92918	103323	104843	104083	150136	138623	144380
SL1344_3812		+	4072690	4073652	203	195	208	61	85	73	5	4	5
SL1344_3813		+	4073652	4074587	91	137	115	45	67	56	3	2	2
SL1344_3814	yidY	+	4075389	4076576	5	5	4	1	1	1	1	0	0
SL1344_3815	yidZ	+	4076545	4077504	8	9	9	5	4	4	3	2	2
SL1344_3816	yieE	+	4077662	4078417	33	38	35	26	28	27	14	7	11
SL1344_3817	yieF	+	4078417	4079001	33	52	59	57	60	59	22	23	23
SL1344_3818	yieG	-	4079046	4080383	33	43	29	23	18	21	2	1	2
SL1344_3819	yieH	+	4080552	4081217	50	64	50	57	45	51	8	4	6
STnc1860		-	4081303	4081219	99	554	366	621	358	490	136	99	118
SL1344_3820	phoU	-	4081312	4082037	38	45	23	11	14	12	1	1	1
SL1344_3821	pstB	-	4082052	4082825	39	46	23	15	16	15	1	1	1
SL1344_3822	pstA	-	4082912	4083802	23	25	13	12	9	10	2	1	2
SL1344_3823	pstC	-	4083802	4084761	24	27	17	13	17	15	3	2	2
SL1344_3824	pstS	-	4084897	4085937	23	32	19	15	22	19	1	1	1
SL1344_3825		-	4086104	4087477	6	6	7	4	4	4	1	1	1
SL1344_3826		-	4087526	4088344	1	1	1	0	1	0	0	0	0
SL1344_3827		+	4088439	4090196	10	9	8	7	7	7	6	3	5
SL1344_3828	glmS	-	4090347	4092176	226	261	156	79	104	91	2	3	2
SL1344_3829	glmU	-	4092365	4093735	643	677	341	155	173	164	5	5	5
SL1344_3830		-	4094055	4094753	21	21	21	11	9	10	6	6	6
SL1344_3831	atpC	-	4094983	4095402	1068	1750	1490	497	569	533	4	3	4
SL1344_3832	atpD	-	4095423	4096805	744	913	823	258	226	242	3	2	3
SL1344_3833	atpG	-	4096832	4097695	876	1084	933	267	257	262	2	3	3
SL1344_3834	atpA	-	4097746	4099287	1026	1162	1108	327	265	296	2	3	3
SL1344_3835	atpH	-	4099300	4099833	1294	1653	1552	485	439	462	2	4	3
SL1344_3836	atpF	-	4099848	4100318	2207	2761	2727	968	908	938	4	6	5
SL1344_3837	atpE	-	4100378	4100617	2313	2390	2330	1013	847	930	12	8	10
SL1344_3838	atpB	-	4100664	4101479	894	869	1055	395	390	392	5	4	5
SL1344_3839	atpI	-	4101488	4101868	751	708	885	316	400	358	11	11	11
SL1344_3840	gidB	-	4102484	4103113	113	74	49	18	20	19	1	1	1
SL1344_3841	gidA	-	4103210	4105099	181	91	74	20	26	23	1	1	1
SL1344_3842	mioC	-	4105478	4105921	720	671	228	65	72	69	10	7	8
SL1344_3843	asnCb	-	4106011	4106469	41	25	23	19	18	18	24	9	16
SL1344_3844	asnA	+	4106620	4107612	19	13	49	76	50	63	16	11	13
SL1344_3845	yieM	-	4107617	4109017	20	24	14	10	13	12	1	1	1
SL1344_3846	yieN	-	4109062	4110558	27	31	28	26	25	25	8	7	7
SL1344_3847	kup	+	4110906	4112774	56	26	27	19	21	20	2	2	2
SL1344_3848	rbsD	+	4112971	4113390	80	210	41	39	25	32	4	2	3
SL1344_3849	rbsA	+	4113398	4114903	18	14	9	8	5	7	0	0	0
SL1344_3850	rbsC	+	4114909	4115874	19	46	19	17	15	16	1	1	1
SL1344_3851	rbsB	+	4115899	4116789	74	254	253	246	156	201	59	37	48
SL1344_3852	rbsK	+	4116923	4117852	35	60	43	31	35	33	1	1	1
SL1344_3853	rbsR	+	4117856	4118854	28	62	36	30	28	29	3	2	2
SL1344_3854	yieO	-	4118820	4120243	18	16	12	9	7	8	3	3	3
SL1344_3857	yieP	-	4120255	4120959	24	24	17	18	16	17	4	2	3
SL1344_3858	yifA	-	4127091	4127939	32	28	20	28	28	28	5	3	4
SL1344_3859	yifE	+	4128046	4128384	2086	2697	1584	658	627	643	44	54	49
SL1344_3860	comM	-	4128409	4129929	3	3	3	2	2	2	1	1	1
SL1344_3860A	ilvX	+	4130466	4130516	69	12	34	70	58	64	1	2	2
SL1344_3861	ilvG	+	4130519	4132165	12	5	5	10	7	9	0	0	0
SL1344_3862	ilvM	+	4132165	4132425	22	29	25	38	29	33	1	2	1
SL1344_3863	ilvE	+	4132443	4133372	21	17	13	16	15	16	1	1	1
SL1344_3864	ilvD	+	4133533	4135383	29	19	16	15	15	15	1	1	1
SL1344_3865	ilvA	+	4135386	4136930	58	51	40	29	27	28	2	1	1
SL1344_3866		+	4137214	4137531	49	50	34	34	39	36	284	171	228
SL1344_3867		+	4137528	4137869	47	42	45	35	38	37	99	47	73
SL1344_3868	ilvY	-	4137872	4138759	26	21	15	12	14	13	1	1	1
SL1344_3869	ilvC	+	4138923	4140398	26	38	16	19	20	20	1	1	1
SL1344_3870	ppiC	-	4140490	4140771	728	702	510	264	199	231	41	26	34
SL1344_3870A		+	4140776	4141081	19	20	24	26	15	21	6	5	6
SL1344_3871		+	4141099	4141209	12	14	15	18	20	19	5	6	5
SL1344_3872	rep	+	4141309	4143333	62	42	28	10	10	10	2	1	1
SL1344_3873	gppA	-	4143373	4144854	132	97	66	31	40	36	2	2	2
SL1344_3874	rhlB	-	4144973	4146238	240	179	139	67	83	75	5	4	4
SL1344_3875	trxA	+	4146382	4146711	1684	1229	661	452	430	441	83	49	66
SL1344_3876	rho	+	4147130	4148389	349	291	223	110	163	136	7	6	7
SL1344_3877	rfe	+	4148619	4149722	193	155	118	78	73	75	38	25	31
SL1344_3878	wzzE	+	4149734	4150780	217	200	162	116	108	112	14	14	14
SL1344_3879	rffE	+	4150836	4151966	128	126	93	55	65	60	4	3	4
SL1344_3880	rffD	+	4151963	4153225	105	99	76	46	44	45	1	1	1
SL1344_3881	rffG	+	4153240	4154292	88	81	55	24	24	24	1	1	1
SL1344_3882	rffH	+	4154325	4154549	149	97	73	43	26	35	1	1	1
SL1344_3883	rffC	+	4154656	4155204	90	74	54	19	18	18	1	1	1
SL1344_3884	rffA	+	4155209	4156339	79	85	64	30	36	33	1	1	1
SL1344_3885	wzxE	+	4156341	4157591	59	60	36	13	16	15	2	2	2
SL1344_3886		+	4157588	4158667	56	50	36	16	17	16	0	1	1
SL1344_3887	rffT	+	4158664	4160022	57	52	34	14	12	13	1	1	1
SL1344_3888	rffM	+	4160019	4160759	54	54	40	12	13	12	1	1	1
SL1344_3889	yifK	+	4160966	4162351	111	74	58	38	34	36	22	17	20
GlmZ		+	4163193	4163400	3738	4651	5073	1746	1909	1827	533	642	587
SL1344_3890	hemY	-	4163468	4164607	52	58	57	37	39	38	3	3	3
SL1344_3891	hemX	-	4164667	4165836	60	67	68	69	68	68	8	6	7
SL1344_3892	hemD	-	4165858	4166598	80	81	87	67	77	72	17	12	14
SL1344_3893	hemC	-	4166595	4167551	82	88	94	94	94	94	20	16	18
SL1344_3894	cyaA	+	4167913	4170459	117	130	78	43	53	48	41	32	36
SL1344_3895		+	4170567	4170920	29	17	11	7	7	7	5	3	4
SL1344_3896		+	4171106	4171648	21	6	6	2	2	2	6	2	4
SL1344_3897		+	4171660	4172022	16	7	4	3	3	3	2	2	2
SL1344_3898	cyaY	-	4172093	4172413	136	154	98	68	64	66	6	3	5
SL1344_3899		-	4172483	4172872	2	2	2	2	4	3	11	8	9
SL1344_3899A		-	4172860	4173382	1	1	0	1	1	1	1	1	1
